Cust_Number,Yearly_Income,Age,Cust_Spend_Score,Sex
CUSTID1,15000,18,44,0
CUSTID2,15000,18,79,0
CUSTID3,16000,23,8,1
CUSTID4,16000,25,79,1
CUSTID5,17000,32,41,1
CUSTID6,75000,60,43,1
CUSTID7,51000,42,25,1
CUSTID8,96000,21,96,0
CUSTID9,132000,26,45,0
CUSTID10,70000,18,33,1
CUSTID11,26000,39,5,1
CUSTID12,25000,37,41,1
CUSTID13,28000,28,73,1
CUSTID14,132000,61,55,1
CUSTID15,82000,59,53,0
CUSTID16,118000,28,12,1
CUSTID17,38000,39,52,1
CUSTID18,49000,56,97,0
CUSTID19,100000,50,77,1
CUSTID20,125000,38,45,1
CUSTID21,59000,62,49,1
CUSTID22,26000,47,27,1
CUSTID23,121000,57,3,0
CUSTID24,53000,32,71,0
CUSTID25,106000,44,19,1
CUSTID26,37000,35,31,0
CUSTID27,101000,44,65,1
CUSTID28,118000,40,34,0
CUSTID29,105000,20,22,1
CUSTID30,61000,20,70,1
CUSTID31,104000,19,55,1
CUSTID32,35000,69,26,0
CUSTID33,55000,44,6,0
CUSTID34,68000,23,60,0
CUSTID35,122000,58,30,1
CUSTID36,36000,64,47,1
CUSTID37,123000,51,53,0
CUSTID38,113000,47,48,1
CUSTID39,134000,60,26,0
CUSTID40,62000,42,23,1
CUSTID41,42000,25,83,0
CUSTID42,47000,61,34,1
CUSTID43,117000,51,98,1
CUSTID44,133000,33,53,1
CUSTID45,101000,66,89,1
CUSTID46,75000,55,57,0
CUSTID47,52000,38,14,1
CUSTID48,117000,48,56,1
CUSTID49,122000,67,22,0
CUSTID50,29000,39,25,1
CUSTID51,44000,32,8,1
CUSTID52,117000,70,47,1
CUSTID53,119000,46,34,1
CUSTID54,55000,18,58,1
CUSTID55,51000,18,21,1
CUSTID56,69000,59,30,0
CUSTID57,82000,36,7,1
CUSTID58,29000,70,20,1
CUSTID59,118000,55,55,0
CUSTID60,82000,25,50,0
CUSTID61,110000,55,30,1
CUSTID62,45000,64,78,1
CUSTID63,133000,51,87,1
CUSTID64,107000,67,16,0
CUSTID65,59000,19,41,1
CUSTID66,131000,39,80,1
CUSTID67,101000,28,97,0
CUSTID68,118000,61,55,0
